Employee_ID,Department,Quarter,Satisfaction_Score,NPS,Engagement_Score,Comments,Manager_Rating,Years_At_Company,Gender,Age_Band,City,Outlook_General,Outlook_Food_Prices
EMP0001,Sales,Q1,4,9,4,Please follow up with me directly at jordan.taylor92@gmail.com about the schedule change.,4,9,Male,35-44,Kolkata,More than current,More than current
EMP0002,Sales,Q1,4,8,3,I really enjoy the supportive team this quarter - the new tools have been great.,4,2,Female,35-44,Delhi,More than current,Similar to current
EMP0003,Sales,Q1,4,8,4,Great team environment - I feel appreciated and well supported.,4,3,Female,35-44,Delhi,Less than current,More than current
EMP0004,Sales,Q1,4,7,4,Communication has improved a lot and things feel a lot smoother now.,4,1,Female,25-34,Delhi,Less than current,Similar to current
EMP0005,Sales,Q1,4,9,4,I really enjoy the supportive team this quarter - the new tools have been great.,5,2,Female,25-34,Kolkata,Less than current,More than current
EMP0006,Sales,Q1,5,9,4,"Happy with the new project assignments, the extra support has helped a ton.",4,8,Male,55+,Guwahati,More than current,Similar to current
EMP0007,Sales,Q1,4,10,3,The onboarding process was smooth and my manager has been really helpful.,4,8,Male,18-24,Mumbai,Similar to current,More than current
EMP0008,Sales,Q2,3,4,4,"Nothing major to report this quarter, things are about the same as before.",4,5,Female,45-54,Mumbai,No change,Similar to current
EMP0009,Sales,Q2,3,6,3,"The training sessions were okay, would be nice to have more hands-on practice.",4,7,Male,45-54,Guwahati,More than current,More than current
EMP0010,Sales,Q2,4,4,3,The onboarding process was smooth and my manager has been really helpful.,4,6,Female,25-34,Guwahati,More than current,More than current
EMP0011,Sales,Q2,4,7,3,"Happy with the new project assignments, the extra support has helped a ton.",3,1,Male,25-34,Delhi,More than current,More than current
EMP0012,Sales,Q2,3,6,3,"Nothing major to report this quarter, things are about the same as before.",3,9,Male,25-34,Guwahati,Similar to current,More than current
EMP0013,Sales,Q2,4,6,4,"Happy with the new project assignments, the extra support has helped a ton.",4,2,Male,18-24,Guwahati,More than current,More than current
EMP0014,Sales,Q2,4,7,2,Communication has improved a lot and things feel a lot smoother now.,3,10,Male,18-24,Kolkata,Decline,Similar to current
EMP0015,Sales,Q3,3,5,3,"The training sessions were okay, would be nice to have more hands-on practice.",2,8,Female,18-24,Guwahati,Decline,More than current
EMP0016,Sales,Q3,2,2,3,The new process is confusing and the documentation is lacking.,3,2,Female,18-24,Mumbai,More than current,Less than current
EMP0017,Sales,Q3,2,4,2,Our tools are outdated and it's frustrating to get basic tasks done.,2,4,Female,45-54,Bengaluru,More than current,Similar to current
EMP0018,Sales,Q3,3,0,3,"Workload has been steady, no major changes to report this quarter.",2,4,Female,55+,Mumbai,No change,Decline
EMP0019,Sales,Q3,3,4,2,"Nothing major to report this quarter, things are about the same as before.",3,8,Female,55+,Kolkata,Similar to current,Less than current
EMP0020,Sales,Q3,3,3,2,"Still getting used to the new process, seems fine so far.",4,4,Male,18-24,Bengaluru,More than current,No change
EMP0021,Sales,Q3,2,4,3,The new process is confusing and the documentation is lacking.,3,3,Male,35-44,Delhi,Similar to current,Similar to current
EMP0022,Sales,Q4,3,2,2,"The training sessions were okay, would be nice to have more hands-on practice.",3,3,Male,45-54,Bengaluru,More than current,Less than current
EMP0023,Sales,Q4,1,3,2,"Feeling unhappy with the workload, it's been a really tough and stressful stretch.",2,5,Male,25-34,Bengaluru,More than current,Similar to current
EMP0024,Sales,Q4,3,4,2,"The training sessions were okay, would be nice to have more hands-on practice.",3,10,Female,25-34,Bengaluru,No change,More than current
