log_id,has_pii,pii_types,has_injection,has_hallucination,has_compliance_violation,violation_category,severity
LOG-0001,False,,False,False,False,,low
LOG-0002,False,,False,False,False,,low
LOG-0003,False,,False,False,False,,low
LOG-0004,True,US_BANK_NUMBER,False,False,True,financial_advice,critical
LOG-0005,True,US_SSN,False,False,False,,medium
LOG-0006,False,,False,False,False,,low
LOG-0007,False,,False,False,False,,low
LOG-0008,False,,False,False,False,,low
LOG-0009,False,,False,False,False,,low
LOG-0010,False,,False,False,False,,low
LOG-0011,False,,False,False,False,,low
LOG-0012,False,,False,False,False,,low
LOG-0013,False,,False,False,False,,low
LOG-0014,False,,False,False,False,,low
LOG-0015,False,,False,False,False,,low
LOG-0016,False,,True,False,False,,medium
LOG-0017,False,,False,False,False,,low
LOG-0018,False,,False,False,False,,low
LOG-0019,False,,False,False,False,,low
LOG-0020,False,,False,True,False,,medium
LOG-0021,False,,False,False,True,financial_advice,medium
LOG-0022,False,,False,False,False,,low
LOG-0023,False,,False,False,False,,low
LOG-0024,False,,False,False,True,financial_advice,medium
LOG-0025,False,,False,False,False,,low
LOG-0026,False,,True,False,False,,medium
LOG-0027,False,,False,False,False,,low
LOG-0028,False,,False,False,False,,low
LOG-0029,False,,True,False,False,,medium
LOG-0030,False,,False,False,False,,low
LOG-0031,True,IBAN_CODE,False,False,False,,medium
LOG-0032,False,,False,False,True,medical_advice,medium
LOG-0033,False,,False,False,False,,low
LOG-0034,False,,False,False,False,,low
LOG-0035,False,,False,False,False,,low
LOG-0036,False,,False,False,False,,low
LOG-0037,False,,False,False,False,,low
LOG-0038,False,,False,False,False,,low
LOG-0039,False,,False,False,True,financial_advice,medium
LOG-0040,True,LOCATION,False,False,False,,medium
LOG-0041,False,,False,False,False,,low
LOG-0042,True,US_BANK_NUMBER,False,False,False,,medium
LOG-0043,False,,False,False,False,,low
LOG-0044,False,,False,False,False,,low
LOG-0045,False,,False,False,False,,low
LOG-0046,False,,False,False,False,,low
LOG-0047,False,,False,True,False,,medium
LOG-0048,False,,False,False,False,,low
LOG-0049,False,,False,True,False,,medium
LOG-0050,False,,False,False,False,,low
LOG-0051,False,,False,True,False,,medium
LOG-0052,False,,False,False,False,,low
LOG-0053,False,,False,False,False,,low
LOG-0054,False,,False,False,False,,low
LOG-0055,True,PERSON;EMAIL_ADDRESS,False,False,False,,medium
LOG-0056,False,,False,False,False,,low
LOG-0057,False,,False,False,False,,low
LOG-0058,False,,False,False,False,,low
LOG-0059,False,,False,False,False,,low
LOG-0060,False,,False,False,False,,low
LOG-0061,False,,False,False,False,,low
LOG-0062,False,,False,False,False,,low
LOG-0063,False,,False,False,False,,low
LOG-0064,False,,False,False,False,,low
LOG-0065,True,US_BANK_NUMBER,False,False,False,,medium
LOG-0066,True,IBAN_CODE,True,False,False,,critical
LOG-0067,True,CREDIT_CARD,False,False,False,,medium
LOG-0068,False,,False,False,True,medical_advice,medium
LOG-0069,False,,False,False,False,,low
LOG-0070,True,CREDIT_CARD,False,False,False,,medium
LOG-0071,False,,True,False,False,,medium
LOG-0072,False,,False,False,False,,low
LOG-0073,True,US_SSN,False,False,False,,medium
LOG-0074,False,,False,False,False,,low
LOG-0075,False,,False,False,False,,low
LOG-0076,True,CREDIT_CARD,False,False,True,financial_advice,critical
LOG-0077,False,,False,False,False,,low
LOG-0078,False,,False,False,True,medical_advice,medium
LOG-0079,False,,False,True,False,,medium
LOG-0080,False,,False,False,False,,low
LOG-0081,False,,False,False,False,,low
LOG-0082,True,IBAN_CODE,False,False,False,,medium
LOG-0083,True,PERSON;EMAIL_ADDRESS;LOCATION,False,False,False,,medium
LOG-0084,False,,False,False,False,,low
LOG-0085,False,,False,False,False,,low
LOG-0086,False,,False,False,False,,low
LOG-0087,True,PERSON;EMAIL_ADDRESS;LOCATION,False,False,False,,medium
LOG-0088,False,,False,False,False,,low
LOG-0089,False,,True,False,False,,medium
LOG-0090,False,,False,True,False,,medium
LOG-0091,True,PHONE_NUMBER,False,False,False,,medium
LOG-0092,False,,False,False,False,,low
LOG-0093,False,,False,False,False,,low
LOG-0094,False,,True,False,False,,medium
LOG-0095,False,,False,False,False,,low
LOG-0096,False,,False,False,False,,low
LOG-0097,False,,False,False,False,,low
LOG-0098,False,,True,False,False,,medium
LOG-0099,False,,False,False,False,,low
LOG-0100,False,,False,False,False,,low
LOG-0101,False,,True,False,False,,medium
LOG-0102,False,,False,False,True,financial_advice,medium
LOG-0103,False,,True,False,False,,medium
LOG-0104,True,LOCATION,False,False,False,,medium
LOG-0105,True,PERSON;EMAIL_ADDRESS,False,False,False,,medium
LOG-0106,False,,False,False,False,,low
LOG-0107,False,,False,False,False,,low
LOG-0108,False,,True,False,True,medical_advice,high
LOG-0109,False,,False,False,False,,low
LOG-0110,False,,False,True,False,,medium
LOG-0111,False,,False,True,False,,medium
LOG-0112,False,,False,False,False,,low
LOG-0113,False,,False,False,False,,low
LOG-0114,False,,False,False,False,,low
LOG-0115,False,,False,False,False,,low
LOG-0116,False,,False,False,False,,low
LOG-0117,False,,False,False,False,,low
LOG-0118,False,,False,False,False,,low
LOG-0119,False,,False,False,False,,low
LOG-0120,False,,False,False,False,,low
LOG-0121,False,,False,True,False,,medium
LOG-0122,False,,False,True,False,,medium
LOG-0123,False,,False,False,False,,low
LOG-0124,False,,False,False,False,,low
LOG-0125,False,,False,False,False,,low
LOG-0126,False,,True,False,False,,medium
LOG-0127,True,PHONE_NUMBER,False,False,False,,medium
LOG-0128,True,PERSON;EMAIL_ADDRESS,False,False,True,financial_advice,high
LOG-0129,False,,False,False,False,,low
LOG-0130,False,,False,False,False,,low
LOG-0131,False,,False,False,False,,low
LOG-0132,True,US_SSN,True,False,False,,critical
LOG-0133,False,,False,False,False,,low
LOG-0134,False,,False,False,False,,low
LOG-0135,False,,False,False,True,medical_advice,medium
LOG-0136,False,,False,False,True,financial_advice,medium
